,Like count,Retweet count,Source,User location,date,tweet,tweet_id
0,4.0,0.0,Twitter for iPhone,Subscribe ,2019-11-01 22:54:23,"Put down money on a Tesla model 3 
#Tesla #TeslaModel3 #teslaclub #grindseason #fcugaming",1.1904017311396454e+18
1,32.0,5.0,Twitter for iPhone,"New Jersey, USA",2019-11-01 22:09:45,"Epiphany Time!

Pretty confident the @Tesla pickup will have similar seating to the #Tesla Semi. After all, the McLaren F1, one of Elon's all-time favorite cars, had a similar design with the driver seat located at center and forward of passengers. 

Elon owned 1 of 106 produced. https://t.co/2c2XK6Znv5",1.190390496759296e+18
2,339.0,37.0,Twitter for iPhone,Tesla HQ,2019-11-01 23:59:49,Tesla Owners of Japan React to Smart Summon! #tesla @elonmusk https://t.co/cwKCSi2AgW,1.1904181957665997e+18
3,0.0,0.0,Cloohawk,"Denver, CO",2019-11-01 23:52:53,"As more automakers come up with affordable electric-powered cars, mass-adoption of these could be sooner than expected. Here's how to make the most of it. #tesla https://t.co/N4uK6GkWlb https://t.co/Tv84fQ9uMn",1.1904164501562204e+18
4,0.0,0.0,Buffer,,2019-11-01 22:20:04,#Tesla Pickup render imagines Elon Musk's 'cyberpunk' truck as a rugged off-roader - Teslarati https://t.co/o5GB8jOJg2 #TechJunkieNews https://t.co/wJlhhlFzgv,1.1903930922239713e+18
5,0.0,1.0,Twitter for iPhone,"Kentucky, USA",2019-11-01 22:21:42,Just saw a #Tesla with the license plate that said OFF GAS ⛽️ #ok #youreclever #lol #ilaughedoutloud https://t.co/K8zQqJhAy2,1.190393504641495e+18
6,0.0,0.0,Twitter for iPhone,"Alpharetta, GA",2019-11-01 23:16:10,Absolutely love this @Tesla owner - we so need to be #PastGas #Tesla #FunLicensePlates https://t.co/r37EBkFpbO,1.1904072096513024e+18
7,3.0,1.0,Twitter for iPhone,Sverige,2019-11-01 21:52:23,"Första vita Tesla Model Y som rullar på vägarna? Vilken färg är snyggast på denna modell? 

#Tesla #ModelY #elbil https://t.co/RrOqqdHEea",1.190386125011075e+18
8,0.0,0.0,NUS Trivia,"Vancouver, British Columbia",2019-11-01 23:09:04,"Tesla Model Y spotted driving side by side with Model 3, other cars in best size comparison yet - Electrek 
https://t.co/cS46l6OsyE  #Palo #California #Tesla #tech https://t.co/o79Hf48oNm",1.1904054261368013e+18
9,14.0,1.0,Twitter for iPhone,"Colorado, USA",2019-11-01 23:44:26,It’s @thenikolapro Pillar Delete night! Kit is beautiful. Can’t believe it comes with a heat gun too. Step 1 done! #tesla #model3 https://t.co/YZllcW8orE,1.190414325384532e+18
10,0.0,0.0,TweetDeck,,2019-11-01 23:02:36,"@skorusARK Different ethical thresholds for recall. $TSLA battery settings make it prone to self combusting - if same ethics were applied, ALL #tesla 's would be recalled. HTH - I thought you were supposed to know about these things..................",1.19040379523618e+18
11,0.0,0.0,Twitter Web App,,2019-11-01 21:56:38,"True Sustainability, Tesla Electric car and Solar Power? How to do it?
Find out here &gt;&gt;&gt; https://t.co/AyZAuXuZT2

#Tesla #electriccars #electricvehicles #Sustainability #RenewableEnergy #NoFossilFuel #CleanEnergy https://t.co/tYj2mbht10",1.1903871940049551e+18
12,13.0,1.0,Twitter for iPhone,"Harlingen, TX",2019-11-01 23:51:27,Getting autonomous ready for tomorrow! Excited for our first league meet. #tesla #ftc #firstrgv #omgrobots https://t.co/0YOSsyO9lp,1.190416089655718e+18
13,5.0,0.0,Twitter Web App,,2019-11-01 23:38:28,"cc: @panasonic @panasonic_cp @panasonicUSA

Do you really want to stay there? At some point, 🙈🙉🙊 won't cut it.

$TSLA $TSLAQ #Tesla #CYAZ #テスラ https://t.co/Wn5SvHhg9Y",1.1904128224062218e+18
14,0.0,0.0,Buffer,,2019-11-01 22:12:04,"#TESLAVPORSCHE / El Tesla Model S Plaid sigue corriendo por el ring para establecer un nuevo record.

➡ https://t.co/Dahbjq2G0i

#Tesla #Teslamodels #Teslamodelsplaid @elonmusk @Porsche_VLC @PorscheEveryDay @ClubTeslaES @TeslaParaTodos #MovilidadSostenible",1.1903910806861169e+18
15,0.0,0.0,Twitter for iPhone,茨城県常陸大宮市,2019-11-01 22:54:10,"つくばのほうはともかく、茨城の北のほうはスーパーチャージャーはまだまだまだ来てくれそうにない。そりゃそーか。今年も魅力度最下位👑
#Tesla  #茨城県 https://t.co/9fUgxlHnIV",1.190401676340949e+18
16,1.0,0.0,Twitter for iPhone,"Ohio, USA",2019-11-01 23:13:16,When your wait is 40 minutes #tesla #netflix #roosters thank u @elonmusk https://t.co/x0hXx92fJg,1.1904064820697252e+18
17,0.0,0.0,Twitter Web App,,2019-11-01 22:10:02,"Fiat-Chrysler wants to be in the electric vehicle market. They may jump ahead by using batteries and electric drive trains from another company..
See which company here &gt;&gt;&gt; https://t.co/GkFfgx9ttN

#fiatChrysler #electriccars #ElectricVehicles #Tesla #Sustainability https://t.co/Qf0K4L4xpg",1.1903905675843707e+18
18,0.0,0.0,NUS Trivia,"Vancouver, British Columbia",2019-11-01 23:29:05,"Tesla Model Y spotted driving side by side with Model 3, other cars in best size comparison yet - Electrek 
https://t.co/AmN92Y2WMe  #Palo #Tesla #California #tech https://t.co/r7odWIl2DM",1.1904104623801876e+18
19,1.0,0.0,Twitter for Android,Germany,2019-11-01 23:27:09,@lorakolodny @DrvrBby @orthereaboot @obannonJD @elonmusk @TopGear_BBCA Here's proof. Also check out @DragTimes' video about this topic. So if you were objective you would have posted about both sides of the story not just claiming #Tesla wants to have arguments with #TopSmear™. https://t.co/jEPFpO7G8m,1.1904099743730647e+18
20,10.0,0.0,Twitter for iPhone,"Tulsa, OK",2019-11-01 23:36:21,"@daverandLA @elonmusk @Tesla (1) if you think a #tesla is sustainable, you are falling for more Elon lies. This is what actually makes Elon money - he is making suckers out of people who want to believe they are being altruistic.",1.1904122914953994e+18
21,2.0,1.0,Twitter for iPhone,Deutschland,2019-11-01 22:19:04,"Wow, are the #Tesla shorts really so desperate and greedy? Obviously yes. Otherwise they wouldn’t care much. Now they stultified themselves even more.  Steve Jobs is Dead https://t.co/yfFKaQYel4 via @wordpressdotcom",1.1903928413920133e+18
22,2.0,0.0,Twitter for Android,,2019-11-01 23:59:19,"I love this vehicle.
#Tesla should sell it.
https://t.co/9shMMxhtQu",1.1904180716825027e+18
23,0.0,0.0,Google,kawasaki,2019-11-01 22:33:17,"Porsche Taycan Turbo S vs #Tesla Model S: DRAG RACE, FULL REVIEW AND...Top Gear https://t.co/oMgdO4X8xr",1.1903964190914232e+18
24,51.0,12.0,Twitter for iPhone,"Tulsa, OK",2019-11-01 22:35:26,I don’t think most people realize how much @elonmusk walked back claims about @Tesla autonomy in the Q3 earnings call. I detailed the evolution here - https://t.co/5Hlgyx6hUU $tsla $tslaq #tesla #Autopilot #AI,1.1903969601314324e+18
25,2.0,0.0,Twitter for iPhone,"Provo, UT USA",2019-11-01 23:27:26,@Teslarati The show specifically showed them out the Porsche in launch mode. They should have shown the Tesla in ludicrous mode. Clearly it wasn’t. Horrible comparison from a show I enjoy. Very disappointing. #lowgear #Tesla,1.1904100445771776e+18
26,1.0,0.0,Twitter for iPhone,United States,2019-11-01 23:21:01,Just ordered my second Tesla.  I’ll have the Model 3 and the Model X. Nothing can beat the performance and benefits of what you get with Tesla #Tesla #elonmusk Tesla is a product and vision people just absolutely accept once they try it.  Brilliant engineering,1.1904084320602317e+18
27,0.0,0.0,Twitter for iPhone,"New York, USA",2019-11-01 22:37:58,@bEEarCUB @elonmusk @Tesla I should have got it when it was 2k extra 🤦‍♂️. IDK exactly what the price of FSD was when I bought my #model3. First photo is what I paid in June of 2018 for my #tesla. Compare that to the other photo of the exact car today but with FSD 🤷🏼‍♂️. FSD option is $7k. I paid $8k in total. https://t.co/IhjJvQbH55,1.1903975997250806e+18
28,3.0,0.0,Twitter Web App,"San Francisco, CA, USA",2019-11-01 22:03:30,Finally a candy from @LoftyPursuits that @Vinesintime can approve of! #Tesla #Starman #candy  https://t.co/yInG8fhkW3,1.1903889254051267e+18
29,0.0,0.0,Twitter for Android,"Droitwich, England",2019-11-01 22:33:41,"Last project before the honeymoon 

#tesla #modelX winter protection detail finished with #autoSmart aqua seal pro

#snowFoam pre wash
#doubleBucket wax shampoo safe wash
#clayBar decontamination
#paintProtection
#winterReady 
#detailingWorldOfficial
#selectedautos 
#hagley https://t.co/fg3axpTcei",1.1903965202705654e+18
30,0.0,0.0,Twitter Web App,,2019-11-01 23:38:12,"The Tesla Model 3 is missing some paint where the sun don't shine...does it matter to you?
Check it out here &gt;&gt;&gt; https://t.co/GPqNCZYQEh

#Tesla #TeslaModel3 #electriccars #ElectricVehicle #qualitycontrol #renewableenergy https://t.co/5wRRsPD1GX",1.1904127544458813e+18
31,0.0,0.0,Twitter Web App,"Suite 9 - 636 Clyde Avenue West
West Vancouver, British Columbia",2019-11-01 23:12:58,#westvancouver #westvan #tutor #math #study #math4me #learn #vancouver #bc #teacher #tution #newyear #newme #2019 #bccurriculum #exams #facts #interesting #puzzle #vancity #Canadians #famous #tesla #coffee #apples #doors #summer #learn #learnahead https://t.co/Eq3rgJD43i,1.1904064075410514e+18
32,0.0,0.0,Twitter Web App,"台北市, 台灣",2019-11-01 23:33:58,"@car_watch Phillip
@Fhillif
·
10月30日
Share my referral link you and anyone to buy a Tesla will receive 1,500 free Supercharger km!~ https://t.co/DRVCGBXvX8
#Tesla 
#Model3 
#modelS
#ModelX
#modelY",1.1904116919739924e+18
33,0.0,0.0,Twitter for Android,"Culiacán, Sinaloa, México,",2019-11-01 22:42:30,"#Google ya alcanzó la supremacía cuántica, #Tesla está desarrollando un automóvil autónomo, se realizan transplantes de cara y los putos cajeros automáticos solo dan múltiplos de $100.  

El siglo 21 da un paso para adelante y 17 patrás puta madre a la verga.",1.190398737421615e+18
34,1.0,0.0,Twitter Web App,"Queensland, Australia.",2019-11-01 23:43:51,"@observationpt @VernVeitch No, the #Tesla batteries CANNOT support #SouthAustralia when the wind doesn't blow at night etc.  It has limited capacity (about 2% of requirement?). What it does well as react to small drops, with excellent response times (which is VERY profitable).",1.1904141774723686e+18
35,1.0,0.0,Twitter Web App,The Bay,2019-11-01 22:29:33,"OoOOoo word on the street is Kettlemen City SC station is getting half their stalls upgraded to V3 right now!  Look for reduced usage for now, but once they open this half up, enjoy the blazing speed! #tesla #teslamodel3 #model3 #sc",1.190395480405971e+18
36,173.0,18.0,Twitter for iPhone,"Central Coast, New South Wales",2019-11-01 21:54:56,"Hey @Tesla and @elonmusk, at four years old you’ve won another fan! I see a #tesla in her future! #model3 #Model3AU https://t.co/sXjYmKE9FS",1.190386768790483e+18
37,1.0,0.0,Twitter for iPhone,"Kentucky, USA",2019-11-01 22:03:49,"@Tesla is confident that by the time the Model Y releases FSD will be feature complete. When you look on the web site. It doesn’t say coming next year.  If you order it with Model Y, you will get a FSD feature complete Tesla. #tesla #ModelY https://t.co/DrwbgymYoZ",1.1903890027817615e+18
38,0.0,0.0,Twitter for Android,"Colorado, USA",2019-11-01 22:53:17,@BetteMidler @nytimes I have one word: #Tesla.,1.190401452449026e+18
39,0.0,0.0,Twitter for iPhone,critic. film. theatre,2019-11-01 22:30:35,"#TheCurrentWar hugely interesting for the extremely competitive business environment and life-changing scientific developments. 
#Westinghouse #Edison #Tesla #GeneralElectric #BenedictCumberbatch Michael Shannon @TomHolland1996 #NewYork #Tokyo #Zurich #London https://t.co/1N7T7BINju",1.1903957378567578e+18
40,3.0,0.0,Twitter for iPhone,"London, UK",2019-11-01 22:37:10,No free #super #charging for us #poor #Tesla #Model3 owners but still way #cheaper than #ICE @TeslaSono @TeslaOwnersUK @TeslaDriverUK @Tesla @Model3Owners @TeslaInTheUK @TeslaTested @HiltonHotels @SurreyEVs @evplugged https://t.co/QtFNSXyNzU,1.190397395131097e+18
41,0.0,0.0,NUS Trivia,"Vancouver, British Columbia",2019-11-01 23:19:05,"Tesla Model Y spotted driving side by side with Model 3, other cars in best size comparison yet - Electrek 
https://t.co/1Xqgdb5KLv  #Model #Tesla #Alto #tech https://t.co/zrR3QHpesW",1.1904079449421783e+18
42,10.0,0.0,Twitter for iPhone,Vancouver,2019-11-01 23:35:20,Met a fellow Model 3 owner at 1010Tires today. Getting his winter tires/wheels on.  Both noticed we had exact same wheel/tire combo. 18” Michelin X-ice i3 and Fast FC04 . He was going down from his performance spec 20” tires to the 18’s. @TeslaOwnersBC #tesla https://t.co/EO0xNAd7rI,1.1904120362382746e+18
43,0.0,2.0,Twitter Web App,"Seattle, WA",2019-11-01 23:05:43,"#AutoNews:

#ElonMusk Warns #Tesla “Full #SelfDriving” Goes Up Tomorrow. Do The Numbers Make Sense?

#GM #recalls 638,000 US #SUVs, trucks for unintended #braking

Read more » https://t.co/5h8LyCh6u1

---
#teslamodels #SelfDrivingCar #SelfDrivingCars #TeslaServiceIssues https://t.co/m1FAl49Yq0",1.1904045813578056e+18
